Kabupaten Cilacap,Kabupaten Banyumas,Kabupaten Purbalingga,Kabupaten Banjarnegara,Kabupaten Kebumen,Kabupaten Purworejo,Kabupaten Wonosobo,Kabupaten Magelang,Kabupaten Boyolali,Kabupaten Klaten,Kabupaten Sukoharjo,Kabupaten Wonogiri,Kabupaten Karanganyar,Kabupaten Sragen,Kabupaten Grobogan,Kabupaten Blora,Kabupaten Rembang,Kabupaten Pati,Kabupaten Kudus,Kabupaten Jepara,Kabupaten Demak,Kabupaten Semarang,Kabupaten Temanggung,Kabupaten Kendal,Kabupaten Batang,Kabupaten Pekalongan,Kabupaten Pemalang,Kabupaten Tegal,Kabupaten Brebes,Kota Magelang,Kota Surakarta,Kota Salatiga,Kota Semarang,Kota Pekalongan,Kota Tegal
0,1.71E-08,1.21E-08,1.17E-08,1.25E-08,1.14E-08,1.14E-08,1.32E-08,1.32E-08,1.43E-08,1.38E-08,1.27E-08,1.38E-08,1.40E-08,1.24E-08,1.22E-08,1.14E-08,1.49E-08,1.48E-07,1.28E-08,1.23E-08,1.63E-08,1.17E-08,1.48E-08,1.17E-08,1.19E-08,1.22E-08,1.36E-08,1.56E-08,1.04E-08,1.59E-08,1.08E-08,1.77E-08,1.06E-08,1.10E-08
1.71E-08,0,4.14E-08,3.70E-08,4.65E-08,3.40E-08,3.41E-08,5.75E-08,5.66E-08,8.76E-08,7.16E-08,4.88E-08,7.13E-08,7.59E-08,4.52E-08,4.22E-08,3.42E-08,1.14E-07,1.94E-08,5.05E-08,4.35E-08,3.37E-07,3.73E-08,1.10E-07,3.71E-08,3.86E-08,4.21E-08,6.53E-08,1.78E-07,2.63E-08,2.20E-07,2.92E-08,8.72E-09,2.75E-08,3.07E-08
1.21E-08,4.14E-08,0,3.46E-07,3.80E-07,1.89E-07,1.93E-07,1.48E-07,1.54E-07,7.85E-08,9.82E-08,2.73E-07,9.89E-08,9.11E-08,4.94E-07,2.35E-06,1.96E-07,6.51E-08,1.32E-08,2.30E-07,8.46E-07,4.72E-08,3.80E-07,6.63E-08,3.60E-07,5.78E-07,2.38E-06,1.13E-07,5.40E-08,7.23E-08,5.10E-08,9.94E-08,7.20E-09,8.22E-08,1.18E-07
1.17E-08,3.70E-08,3.46E-07,0,1.81E-07,4.18E-07,4.37E-07,1.04E-07,1.07E-07,6.40E-08,7.65E-08,1.52E-07,7.69E-08,7.21E-08,2.03E-07,3.01E-07,4.50E-07,5.48E-08,1.27E-08,1.38E-07,2.45E-07,4.15E-08,3.82E-06,5.56E-08,8.59E-06,8.59E-07,3.02E-07,8.52E-08,4.67E-08,9.14E-08,4.45E-08,1.40E-07,7.05E-09,1.08E-07,1.80E-07
1.25E-08,4.65E-08,3.80E-07,1.81E-07,0,1.26E-07,1.28E-07,2.43E-07,2.60E-07,9.90E-08,1.32E-07,9.66E-07,1.34E-07,1.20E-07,1.65E-06,4.54E-07,1.29E-07,7.86E-08,1.37E-08,5.83E-07,6.91E-07,5.39E-08,1.90E-07,8.03E-08,1.85E-07,2.29E-07,4.53E-07,1.61E-07,6.29E-08,6.07E-08,5.89E-08,7.88E-08,7.34E-09,6.76E-08,9.03E-08
1.14E-08,3.40E-08,1.89E-07,4.18E-07,1.26E-07,0,1.00E-05,8.31E-08,8.50E-08,5.55E-08,6.47E-08,1.12E-07,6.49E-08,6.15E-08,1.37E-07,1.75E-07,5.91E-06,4.85E-08,1.23E-08,1.04E-07,1.55E-07,3.78E-08,3.77E-07,4.91E-08,3.99E-07,2.81E-07,1.75E-07,7.08E-08,4.20E-08,1.17E-07,4.02E-08,2.10E-07,6.94E-09,1.45E-07,3.17E-07
1.14E-08,3.41E-08,1.93E-07,4.37E-07,1.28E-07,1.00E-05,0,8.38E-08,8.58E-08,5.58E-08,6.51E-08,1.13E-07,6.54E-08,6.19E-08,1.39E-07,1.78E-07,1.44E-05,4.87E-08,1.24E-08,1.05E-07,1.57E-07,3.79E-08,3.92E-07,4.93E-08,4.15E-07,2.90E-07,1.78E-07,7.13E-08,4.22E-08,1.16E-07,4.03E-08,2.05E-07,6.94E-09,1.43E-07,3.07E-07
1.32E-08,5.75E-08,1.48E-07,1.04E-07,2.43E-07,8.31E-08,8.38E-08,0,3.71E-06,1.67E-07,2.91E-07,3.25E-07,2.97E-07,2.37E-07,2.12E-07,1.58E-07,8.43E-08,1.16E-07,1.45E-08,4.17E-07,1.80E-07,6.93E-08,1.07E-07,1.20E-07,1.05E-07,1.18E-07,1.58E-07,4.77E-07,8.49E-08,4.86E-08,7.78E-08,5.95E-08,7.57E-09,5.29E-08,6.58E-08
1.32E-08,5.66E-08,1.54E-07,1.07E-07,2.60E-07,8.50E-08,8.58E-08,3.71E-06,0,1.60E-07,2.70E-07,3.56E-07,2.75E-07,2.22E-07,2.25E-07,1.65E-07,8.63E-08,1.13E-07,1.44E-08,4.70E-07,1.89E-07,6.80E-08,1.10E-07,1.16E-07,1.08E-07,1.22E-07,1.65E-07,4.23E-07,8.30E-08,4.92E-08,7.62E-08,6.05E-08,7.55E-09,5.36E-08,6.70E-08
1.43E-08,8.76E-08,7.85E-08,6.40E-08,9.90E-08,5.55E-08,5.58E-08,1.67E-07,1.60E-07,0,3.92E-07,1.10E-07,3.81E-07,5.67E-07,9.34E-08,8.12E-08,5.60E-08,3.82E-07,1.59E-08,1.19E-07,8.66E-08,1.18E-07,6.51E-08,4.26E-07,6.45E-08,6.91E-08,8.12E-08,2.57E-07,1.73E-07,3.76E-08,1.46E-07,4.39E-08,7.93E-09,4.02E-08,4.72E-08
1.38E-08,7.16E-08,9.82E-08,7.65E-08,1.32E-07,6.47E-08,6.51E-08,2.91E-07,2.70E-07,3.92E-07,0,1.53E-07,1.45E-05,1.27E-06,1.23E-07,1.03E-07,6.54E-08,1.93E-07,1.53E-08,1.71E-07,1.11E-07,9.09E-08,7.80E-08,2.04E-07,7.72E-08,8.39E-08,1.02E-07,7.45E-07,1.20E-07,4.16E-08,1.06E-07,4.94E-08,7.77E-09,4.47E-08,5.37E-08
1.27E-08,4.88E-08,2.73E-07,1.52E-07,9.66E-07,1.12E-07,1.13E-07,3.25E-07,3.56E-07,1.10E-07,1.53E-07,0,1.55E-07,1.37E-07,6.09E-07,3.09E-07,1.14E-07,8.56E-08,1.39E-08,1.47E-06,4.03E-07,5.71E-08,1.59E-07,8.76E-08,1.55E-07,1.85E-07,3.08E-07,1.93E-07,6.73E-08,5.71E-08,6.27E-08,7.29E-08,7.40E-09,6.32E-08,8.26E-08
1.38E-08,7.13E-08,9.89E-08,7.69E-08,1.34E-07,6.49E-08,6.54E-08,2.97E-07,2.75E-07,3.81E-07,1.45E-05,1.55E-07,0,1.16E-06,1.24E-07,1.03E-07,6.57E-08,1.91E-07,1.52E-08,1.73E-07,1.12E-07,9.03E-08,7.85E-08,2.01E-07,7.76E-08,8.44E-08,1.03E-07,7.85E-07,1.19E-07,4.18E-08,1.05E-07,4.96E-08,7.77E-09,4.49E-08,5.39E-08
1.40E-08,7.59E-08,9.11E-08,7.21E-08,1.20E-07,6.15E-08,6.19E-08,2.37E-07,2.22E-07,5.67E-07,1.27E-06,1.37E-07,1.16E-06,0,1.12E-07,9.48E-08,6.22E-08,2.28E-07,1.54E-08,1.51E-07,1.02E-07,9.79E-08,7.35E-08,2.43E-07,7.27E-08,7.87E-08,9.48E-08,4.69E-07,1.32E-07,4.03E-08,1.16E-07,4.76E-08,7.82E-09,4.32E-08,5.15E-08
