Kabupaten Cilacap,Kabupaten Banyumas,Kabupaten Purbalingga,Kabupaten Banjarnegara,Kabupaten Kebumen,Kabupaten Purworejo,Kabupaten Wonosobo,Kabupaten Magelang,Kabupaten Boyolali,Kabupaten Klaten,Kabupaten Sukoharjo,Kabupaten Wonogiri,Kabupaten Karanganyar,Kabupaten Sragen,Kabupaten Grobogan,Kabupaten Blora,Kabupaten Rembang,Kabupaten Pati,Kabupaten Kudus,Kabupaten Jepara,Kabupaten Demak,Kabupaten Semarang,Kabupaten Temanggung,Kabupaten Kendal,Kabupaten Batang,Kabupaten Pekalongan,Kabupaten Pemalang,Kabupaten Tegal,Kabupaten Brebes,Kota Magelang,Kota Surakarta,Kota Salatiga,Kota Semarang,Kota Pekalongan,Kota Tegal
0,0.6,1.03,0.63,1.39,0.38,0.47,0.26,0.38,0.51,0.25,0.26,0.32,0.57,0.3,0.29,0.32,0.4,0.37,0.68,0.55,0.22,0.3,0.73,2.08,0.52,1.41,0.97,0.57,2.63,0.55,0.43,3.23,0.8,0.53
0.6,0,1.41,10,1.04,1.02,2.27,0.46,1.05,3.7,0.43,0.45,0.69,14.29,0.63,0.57,0.7,1.27,0.94,4.55,6.67,0.35,0.61,3.23,0.83,4.35,1.03,0.37,0.29,0.49,6.67,1.52,0.5,2.33,0.28
1.03,1.41,0,1.64,4,0.59,0.87,0.35,0.6,1.02,0.33,0.34,0.46,1.28,0.43,0.4,0.47,0.67,0.57,2.04,1.16,0.28,0.42,2.5,2.04,1.06,3.85,0.5,0.37,0.74,1.16,0.73,0.78,3.57,0.35
0.63,10,1.64,0,1.16,0.93,1.85,0.44,0.95,2.7,0.41,0.43,0.65,5.88,0.59,0.53,0.65,1.12,0.86,8.33,4,0.34,0.57,4.76,0.91,3.03,1.15,0.38,0.3,0.51,4,1.32,0.53,3.03,0.29
1.39,1.04,4,1.16,0,0.52,0.71,0.32,0.52,0.81,0.3,0.31,0.41,0.97,0.39,0.37,0.42,0.57,0.5,1.35,0.9,0.26,0.38,1.54,4.17,0.84,100,0.57,0.41,0.91,0.9,0.62,0.97,1.89,0.38
0.38,1.02,0.59,0.93,0.52,0,1.85,0.83,33.33,1.41,0.73,0.79,2.13,1.1,1.61,1.27,2.22,5.26,12.5,0.83,1.2,0.54,1.49,0.78,0.46,1.33,0.51,0.27,0.23,0.33,1.2,3.13,0.34,0.71,0.22
0.47,2.27,0.87,1.85,0.71,1.85,0,0.57,1.96,5.88,0.52,0.56,0.99,2.7,0.86,0.75,1.01,2.86,1.61,1.52,3.45,0.42,0.83,1.33,0.61,4.76,0.71,0.32,0.26,0.4,3.45,4.55,0.41,1.15,0.25
0.26,0.46,0.35,0.44,0.32,0.83,0.57,0,0.81,0.52,5.88,16.67,1.37,0.47,1.72,2.44,1.33,0.72,0.89,0.42,0.49,1.52,1.89,0.4,0.3,0.51,0.32,0.2,0.18,0.24,0.49,0.66,0.24,0.38,0.17
0.38,1.05,0.6,0.95,0.52,33.33,1.96,0.81,0,1.47,0.71,0.78,2,1.14,1.54,1.22,2.08,6.25,9.09,0.85,1.25,0.53,1.43,0.79,0.47,1.39,0.52,0.27,0.23,0.33,1.25,3.45,0.34,0.72,0.22
0.51,3.7,1.02,2.7,0.81,1.41,5.88,0.52,1.47,0,0.48,0.51,0.85,5,0.75,0.67,0.86,1.92,1.27,2.04,8.33,0.39,0.72,1.72,0.68,25,0.81,0.34,0.27,0.43,8.33,2.56,0.44,1.43,0.26
0.25,0.43,0.33,0.41,0.3,0.73,0.52,5.88,0.71,0.48,0,9.09,1.11,0.44,1.33,1.72,1.09,0.64,0.78,0.39,0.45,2.04,1.43,0.38,0.28,0.47,0.3,0.2,0.17,0.23,0.45,0.59,0.23,0.36,0.17
0.26,0.45,0.34,0.43,0.31,0.79,0.56,16.67,0.78,0.51,9.09,0,1.27,0.46,1.56,2.13,1.23,0.69,0.85,0.41,0.48,1.67,1.69,0.39,0.29,0.5,0.31,0.2,0.18,0.23,0.48,0.63,0.24,0.37,0.17
0.32,0.69,0.46,0.65,0.41,2.13,0.99,1.37,2,0.85,1.11,1.27,0,0.72,6.67,3.13,50,1.52,2.56,0.6,0.77,0.72,5,0.57,0.38,0.82,0.41,0.24,0.21,0.28,0.77,1.27,0.29,0.53,0.2
0.57,14.29,1.28,5.88,0.97,1.1,2.7,0.47,1.14,5,0.44,0.46,0.72,0,0.65,0.59,0.74,1.39,1.01,3.45,12.5,0.36,0.63,2.63,0.79,6.25,0.96,0.36,0.29,0.47,12.5,1.69,0.49,2,0.27
0.3,0.63,0.43,0.59,0.39,1.61,0.86,1.72,1.54,0.75,1.33,1.56,6.67,0.65,0,5.88,5.88,1.23,1.85,0.55,0.69,0.81,20,0.52,0.36,0.73,0.39,0.23,0.2,0.27,0.69,1.06,0.28,0.49,0.19
